,inference_time,distortion_lvl,distortion_type,p_tar
0,0.1979186534881591,,,
1,0.1966629028320312,,,
2,0.2150382995605468,,,
3,0.2082462310791015,,,
4,0.1872265338897705,,,
5,0.2131361961364746,,,
6,0.1990900039672851,,,
7,0.2156028747558593,,,
8,0.217844009399414,,,
9,0.1816091537475586,,,
10,0.1793208122253418,,,
11,0.1947228908538818,,,
12,0.2137033939361572,,,
13,0.2051546573638916,,,
14,0.1944193840026855,,,
15,0.1894264221191406,,,
16,0.1944787502288818,,,
17,0.2351844310760498,,,
18,0.2042486667633056,,,
19,0.1905169486999511,,,
20,0.181875467300415,,,
21,0.2031254768371582,,,
22,0.198122501373291,,,
23,0.1940898895263672,,,
24,0.1939308643341064,,,
25,0.2145569324493408,,,
26,0.1986377239227295,,,
27,0.1869661808013916,,,
28,0.2017250061035156,,,
29,0.1868152618408203,,,
30,0.1989991664886474,,,
31,0.1946029663085937,,,
32,0.1914267539978027,,,
33,0.1658980846405029,,,
34,0.2822723388671875,,,
35,0.3009243011474609,,,
36,0.2723701000213623,,,
37,0.1896204948425293,,,
38,0.1902985572814941,,,
39,0.2056593894958496,,,
40,0.2055621147155761,,,
41,0.1878507137298584,,,
42,0.1960339546203613,,,
43,0.220668077468872,,,
44,0.2865622043609619,,,
45,0.2638375759124756,,,
46,0.1932108402252197,,,
47,0.1909019947052002,,,
48,0.1907236576080322,,,
49,0.2003402709960937,,,
50,0.2132413387298584,,,
51,0.2652270793914795,,,
52,0.1837587356567382,,,
53,0.1968216896057129,,,
54,0.2286899089813232,,,
55,0.2712981700897217,,,
56,0.2006185054779052,,,
57,0.1886830329895019,,,
58,0.1991863250732422,,,
59,0.1995668411254882,,,
60,0.2565181255340576,,,
61,0.1888110637664795,,,
62,0.2036414146423339,,,
63,0.2102699279785156,,,
64,0.1960096359252929,,,
65,0.252504825592041,,,
66,0.1995434761047363,,,
67,0.2798664569854736,,,
68,0.2986290454864502,,,
69,0.3243424892425537,,,
70,0.269484281539917,,,
71,0.2855668067932129,,,
72,0.3011262416839599,,,
73,0.288280725479126,,,
74,0.3062467575073242,,,
75,0.2954065799713135,,,
76,0.2738001346588135,,,
77,0.2329347133636474,,,
78,0.2018344402313232,,,
79,0.2386844158172607,,,
80,0.188716173171997,,,
81,0.193019151687622,,,
82,0.1991879940032959,,,
83,0.193920612335205,,,
84,0.2073090076446533,,,
85,0.1925177574157714,,,
86,0.1932845115661621,,,
87,0.1937263011932373,,,
88,0.1885633468627929,,,
89,0.257678747177124,,,
90,0.2079033851623535,,,
91,0.208097219467163,,,
92,0.1998114585876464,,,
93,0.1934659481048584,,,
94,0.205512523651123,,,
95,0.1971464157104492,,,
96,0.2002556324005127,,,
97,0.1918592453002929,,,
98,0.1980469226837158,,,
99,0.2286374568939209,,,
100,0.2150087356567382,,,
101,0.1922016143798828,,,
102,0.2056868076324463,,,
103,0.1972043514251709,,,
104,0.2123615741729736,,,
105,0.1953203678131103,,,
106,0.1992313861846923,,,
107,0.1998965740203857,,,
108,0.2270376682281494,,,
109,0.2363076210021972,,,
110,0.1809713840484619,,,
111,0.203279972076416,,,
112,0.2002701759338379,,,
113,0.1856684684753418,,,
114,0.1900641918182373,,,
115,0.1885919570922851,,,
116,0.1783971786499023,,,
117,0.2063045501708984,,,
118,0.1871342658996582,,,
119,0.185880422592163,,,
